pid,pod.id,dry.date,poll.status,length.dry,tot.num.seeds,num.m.seeds,notes
126,06,coll.date,unmarked,52.27,54,54,
126,07,coll.date,unmarked,57.54,9,9,
126,08,coll.date,unmarked,53.24,61,61,
126,09,coll.date,unmarked,47.89,60,60,
126,10,coll.date,deformed,64.69,95,95,
128,01,coll.date,unmarked,58.57,48,48,
128,02,coll.date,unmarked,53.22,64,64,
128,03,coll.date,unmarked,66.64,104,104,
128,04,coll.date,unmarked,59.21,62,62,
128,05,coll.date,pollinated,56.67,42,42,
128,06,coll.date,unmarked,49.37,26,26,
128,07,coll.date,unmarked,62.85,25,25,
128,08,coll.date,unmarked,48.6,28,20,
128,09,coll.date,unmarked,49.2,45,45,
128,10,coll.date,unmarked,59.84,75,75,
130,01,coll.date,unmarked,47.34,31,31,
130,02,coll.date,unmarked,59.41,69,69,
130,03,coll.date,unmarked,51.6,28,28,
130,04,coll.date,unmarked,60.03,65,65,
130,05,coll.date,unmarked,66.76,70,70,
130,06,coll.date,unmarked,61.66,40,40,
130,07,coll.date,unmarked,57.57,17,17,
130,08,coll.date,deformed,53.61,33,33,
130,09,coll.date,unmarked,47,37,37,
130,10,coll.date,unmarked,42.44,27,27,
132,01,coll.date,unmarked,50.09,65,65,
132,02,coll.date,unmarked,46.89,33,26,
132,03,coll.date,unmarked,45.33,30,29,
132,04,coll.date,pollinated,43.3,36,37,
132,05,coll.date,unmarked,52.68,38,38,wet
134,01,coll.date,unmarked,42.03,22,22,
134,02,coll.date,unmarked,50.43,35,35,
134,03,coll.date,unmarked,43.78,41,41,
134,04,coll.date,unmarked,42.57,15,15,
134,05,coll.date,unmarked,39.02,18,18,
134,06,coll.date,unmarked,38.97,11,11,
134,07,coll.date,unmarked,53.66,24,24,
136,01,coll.date,unmarked,55.52,69,69,
136,02,coll.date,unmarked,47.19,32,32,
136,03,coll.date,unmarked,45.34,27,27,
136,04,coll.date,deformed,45.56,55,55,
136,05,coll.date,unmarked,45.43,41,41,
136,06,coll.date,deformed,48.02,61,61,
136,07,coll.date,unmarked,49.95,20,20,
136,08,coll.date,deformed,50.2,16,16,
136,09,coll.date,unmarked,61.17,67,67,
136,10,coll.date,unmarked,42.56,32,32,
138,01,coll.date,pollinated,55.74,60,60,
138,02,coll.date,unmarked,60.27,75,75,
138,03,coll.date,unmarked,57.61,69,69,
138,04,coll.date,unmarked,51.3,67,67,
138,05,coll.date,unmarked,54.6,93,93,
138,06,coll.date,unmarked,60.73,84,84,
138,07,coll.date,unmarked,51.44,52,52,
138,08,coll.date,pollinated,52.96,56,56,
138,09,coll.date,unmarked,62.23,85,85,
138,10,coll.date,deformed,38.85,11,11,
142,01,coll.date,unmarked,47.67,62,62,
142,02,coll.date,unmarked,42.52,27,27,
142,03,coll.date,unmarked,38.31,47,47,
142,04,coll.date,deformed,52.81,64,64,
142,05,coll.date,deformed,49.85,52,52,
142,06,coll.date,unmarked,40.22,30,30,
142,07,coll.date,bee,52.49,16,16,
142,08,coll.date,deformed,43.01,52,52,
142,09,coll.date,unmarked,49.11,5,5,
144,01,coll.date,unmarked,43.47,54,54,
144,02,coll.date,unmarked,26.72,19,19,
144,03,coll.date,unmarked,48.62,46,46,
144,04,coll.date,unmarked,40.93,44,44,
144,05,coll.date,unmarked,35.95,23,23,
144,06,coll.date,unmarked,40.74,52,52,
144,07,coll.date,unmarked,39.15,15,15,
144,08,coll.date,unmarked,55.09,55,55,
144,09,coll.date,unmarked,49.3,62,62,
144,10,coll.date,bee,36.72,12,12,
146,01,coll.date,unmarked,44.41,36,36,
146,02,coll.date,deformed,48.71,53,53,
146,03,coll.date,unmarked,45.14,78,78,
146,04,coll.date,deformed,41.57,59,59,
146,05,coll.date,deformed,35.57,30,30,
146,06,coll.date,deformed,35.02,25,25,
146,07,coll.date,unmarked,46.02,54,54,
148,01,coll.date,unmarked,50.98,40,40,
148,02,coll.date,unmarked,62.59,60,60,
148,03,coll.date,unmarked,57.39,41,41,
148,04,coll.date,unmarked,43.83,17,17,
148,05,coll.date,unmarked,63.49,69,69,
148,06,coll.date,unmarked,45.56,26,26,
148,07,coll.date,unmarked,50,32,32,
148,08,coll.date,unmarked,56.73,17,17,
148,09,coll.date,unmarked,62.57,54,54,
148,10,coll.date,unmarked,63.89,33,33,
150,01,coll.date,unmarked,41.25,70,70,
150,02,coll.date,deformed,44.12,42,42,
150,03,coll.date,unmarked,42.83,29,29,
150,04,coll.date,deformed,44.78,73,73,
150,05,coll.date,unmarked,50.49,66,66,
150,06,coll.date,unmarked,47.38,30,30,
150,07,coll.date,unmarked,50.61,33,33,
150,08,coll.date,unmarked,63.12,55,55,
150,09,coll.date,unmarked,47.02,25,25,
150,10,coll.date,unmarked,40.84,25,25,
152,01,coll.date,unmarked,41.74,62,62,
152,02,coll.date,unmarked,46.3,54,54,
152,03,coll.date,unmarked,45.65,65,65,
152,04,coll.date,unmarked,43.49,68,68,
152,05,coll.date,unmarked,39.03,44,44,
152,06,coll.date,unmarked,41.06,55,55,
152,07,coll.date,unmarked,45.86,48,48,
152,08,coll.date,unmarked,44.82,47,47,
152,09,coll.date,unmarked,48.3,60,60,
152,10,coll.date,unmarked,45.46,22,22,
154,01,coll.date,unmarked,50.87,51,51,
154,02,coll.date,unmarked,37.6,12,12,
154,03,coll.date,unmarked,45.85,24,24,
154,04,coll.date,unmarked,53.36,45,45,
154,05,coll.date,unmarked,51.48,66,66,
154,06,coll.date,unmarked,46.78,21,21,
154,07,coll.date,unmarked,42.66,45,45,
154,08,coll.date,deformed,58.46,42,42,
154,09,coll.date,unmarked,53.07,40,40,
154,10,coll.date,unmarked,50.87,50,50,
156,01,coll.date,unmarked,43.78,87,87,
156,02,coll.date,deformed,51.83,106,106,
156,03,coll.date,unmarked,55.04,75,75,
156,04,coll.date,unmarked,48.26,30,30,
156,05,coll.date,unmarked,46.71,45,45,
156,06,coll.date,unmarked,48.05,53,53,
156,07,coll.date,unmarked,55.32,95,95,
156,08,coll.date,unmarked,52.36,78,78,
156,09,coll.date,deformed,52.08,47,47,
156,10,coll.date,deformed,49.8,40,40,
158,01,coll.date,unmarked,55.01,85,85,
158,02,coll.date,unmarked,58.91,66,66,
158,03,coll.date,unmarked,47.89,52,52,
158,04,coll.date,deformed,48.07,40,40,
158,05,coll.date,unmarked,53.1,76,76,
160,01,coll.date,unmarked,37.62,34,34,
160,02,coll.date,unmarked,50.36,54,54,
160,03,coll.date,unmarked,47.19,53,53,
160,04,coll.date,unmarked,51.29,61,61,
160,05,coll.date,unmarked,52.91,34,34,
160,06,coll.date,unmarked,61.79,73,73,
160,07,coll.date,unmarked,58.74,68,68,
160,08,coll.date,unmarked,47.37,64,64,
160,09,coll.date,unmarked,58.6,15,15,
160,10,coll.date,unmarked,57.06,20,20,
162,01,coll.date,pollinated,42.29,39,39,
162,02,coll.date,pollinated,47.15,62,62,
162,03,coll.date,pollinated,46.32,50,50,
162,04,coll.date,unmarked,41.87,52,52,
162,05,coll.date,pollinated,45.57,60,60,
162,06,coll.date,pollinated,48.18,36,36,
162,07,coll.date,pollinated,49.42,54,54,
162,08,coll.date,bee,45.67,51,51,
