date,PID,num.flowers,pollen.pid,condition,bee pollinated?,spodoptera damage?
8/27,89,12,77,,,
8/27,91,2,,,,yes
8/27,93,2,79,,,
8/27,95,6,159,,,
8/27,99,3,27,,,
8/27,107,3,159,,,
8/27,113,13,99,,,yes
8/27,115,4,105,,,
8/27,117,9,79,,,
8/27,125,7,113,,,
8/27,131,7,123,,,
8/27,139,2,125,,,yes
8/27,155,2,125,,,
8/27,159,8,95,,,
8/27,161,4,125,,,
8/27,167,4,117,,,
8/29,96,2,162,,yes,
8/29,162,1,,,yes,
8/29,164,4,96,,yes,
8/29,5,7,37,,,yes
8/29,27,5,57,,,
8/29,33,5,63,,,yes
8/29,37,3,5,,,yes
8/29,45,7,33,,,yes
8/29,47,4,79,,,
8/29,65,7,77,,,
8/29,69,7,83,,,yes
8/29,71,1,47,,,
8/30,75,2,87,,,yes
8/30,77,6,89,,,yes
8/30,79,7,71,,,
8/30,83,2,69,,,yes
8/30,85,4,93,,,
8/30,87,2,75,,,
8/30,89,1,77,,,
8/30,91,8,99,,,yes
8/30,93,1,85,,,
8/30,95,10,107,,,
8/30,99,8,91,,,
8/20,103,10,113,,,yes
8/30,105,14,115,,,
8/30,107,2,95,,,
8/30,113,7,103,,,yes
8/30,115,8,105,,,
8/30,117,2,101,,,
8/30,123,2,131,,,
8/30,125,10,139,,,
8/30,131,5,167,,,
8/30,133,11,159,,,yes
8/30,135,11,143,,,
8/30,139,2,125,,,yes
8/30,143,10,135,,,
8/30,155,3,161,,,
8/30,159,7,133,,,
8/30,161,4,155,,,yes
8/30,167,3,123,,,
9/3,5,1,89,,,
9/3,19,5,75,,,
9/3,21,3,71,,,
9/3,27,4,19,,,
9/3,31,1,19,,,yes
9/3,35,1,89,,,
9/3,37,1,89,,,yes
9/3,45,3,63,,,yes
9/3,47,1,71,,,yes
9/3,63,2,45,,,
9/3,65,5,89,,,
9/3,67,2,75,,,
9/3,69,5,83,,,
9/3,71,6,63,,,
9/3,75,12,113,,,
9/3,77,10,89,,,
9/3,79,2,71,,,
9/3,83,2,69,,,yes
9/3,85,9,105,,,
9/3,87,5,103,,,yes
9/3,89,17,77,,,
9/3,91,2,75,,,yes
9/3,95,13,69,,,
9/3,99,7,103,,,yes
9/3,101,9,117,,,
9/3,103,8,113,,,
9/3,105,15,115,,,yes
9/3,107,3,95,,,
9/3,113,2,103,,,
9/3,115,11,79,,,
9/3,117,12,123,,,yes
9/3,121,17,107,,,yes
9/3,123,3,167,,,
9/3,125,13,129,,,
9/3,129,6,125,,,
9/3,135,21,85,,,
9/3,139,2,125,,,yes
9/3,143,29,135,,,
9/3,151,3,149,,,
9/3,155,3,161,,,
9/3,159,17,121,,,
9/3,161,5,19,,,
9/3,163,6,151,,,
9/3,167,5,123,,,
9/5,196,1,162,D,,
9/5,64,3,152,,yes,
9/5,68,2,,,yes,
9/5,90,2,132,D,,
9/5,118,3,162,D,yes,
9/5,122,1,132,D,,
9/5,126,3,162,D,,
9/5,144,2,162,D,,
9/5,148,2,164,D,,
9/5,152,6,64,,yes,
9/5,156,2,,,yes,
9/5,158,1,162,D,,
9/5,162,4,,,yes,
9/5,164,8,152,,yes,
9/11,9,2,23,,,
9/11,23,3,9,,,
9/11,25,8,51,,,yes
9/11,33,3,45,,,
9/11,45,1,33,,,
9/11,47,1,63,,,
9/11,51,4,5,,,yes
9/11,63,7,71,,,
9/11,69,9,83,,,yes
9/11,71,9,63,,,yes
9/11,75,11,91,,,yes
9/11,77,3,79,,,
9/11,79,4,77,,,
9/11,83,6,23,,,yes
9/11,85,6,93,,,
9/11,89,13,101,,,
9/11,91,1,75,,,
9/11,95,6,133,,,
9/11,99,10,103,,,
9/11,101,6,89,,,yes
9/11,103,22,99,,,
9/11,105,2,115,,,yes
9/11,113,6,125,,,yes
9/11,115,9,105,,,
9/11,117,9,131,,,yes
9/11,125,8,113,,,
9/11,129,10,139,,,
9/11,131,15,117,,,yes
9/11,133,19,95,,,
9/11,135,16,143,,,
9/11,139,5,129,,,
9/11,143,8,135,,,
9/11,149,3,167,,,
9/11,151,5,163,,,yes
9/11,155,7,161,,,
9/11,159,8,141,,,
9/11,161,7,155,,,
9/11,163,12,151,,,yes
9/11,167,3,149,,,
9/11,68,2,,,yes,
9/11,74,3,,,yes,
9/11,96,2,,,yes,
9/11,152,6,,,yes,
9/11,162,7,,,yes,
9/11,164,5,,,yes,
9/13,23,6,69,,,yes
9/13,25,11,51,,,
9/13,47,1,63,,,
9/13,51,5,25,,,yes
9/13,53,5,75,,,
9/13,59,2,117,,,
9/13,63,6,47,,,
9/13,69,8,23,,,yes
9/13,71,8,79,,,yes
9/13,75,12,91,,,yes
9/13,77,12,89,,,
9/13,79,1,85,,,
9/13,83,14,95,,,yes
9/13,85,13,79,,,
9/13,89,12,77,,,yes
9/13,91,6,75,,,
9/13,95,5,83,,,
9/13,99,9,113,,,
9/13,101,7,117,,,
9/13,103,13,125,,,
9/13,113,3,99,,,
9/13,115,13,135,,,
9/13,117,10,101,,,
9/13,125,7,103,,,
9/13,129,9,159,,,
9/13,131,9,117,,,
9/13,133,16,141,,,
9/13,135,19,115,,,yes
9/13,139,9,151,,,yes
9/13,141,2,137,,,
9/13,143,8,135,,,
9/13,149,5,167,,,
9/13,151,5,159,,,
9/13,155,11,161,,,
9/13,159,2,151,,,
9/13,161,3,155,,,
9/13,163,4,151,,,
